icao,type,lat,long,iso_country
00A,heliport,40.07080078125,-74.93360137939453,US
00AA,small_airport,38.704022,-101.473911,US
00AK,small_airport,59.94919968,-151.695999146,US
00AL,small_airport,34.86479949951172,-86.77030181884766,US
00AR,closed,35.6087,-91.254898,US
00AS,small_airport,34.9428028,-97.8180194,US
00AZ,small_airport,34.305599212646484,-112.16500091552734,US
00CA,small_airport,35.350498199499995,-116.888000488,US
00CL,small_airport,39.427188,-121.763427,US
00CN,heliport,32.7273736,-116.4597417,US
00CO,closed,40.622202,-104.344002,US
00FA,small_airport,28.64550018310547,-82.21900177001953,US
00FD,heliport,28.846599578857422,-82.34539794921875,US
00FL,small_airport,27.230899810791016,-80.96920013427734,US
00GA,small_airport,33.76750183105469,-84.06829833984375,US
00GE,heliport,33.88420104980469,-84.73390197753906,US
00HI,heliport,19.832715,-155.980233,US
00ID,small_airport,48.145301818847656,-116.21399688720703,US
00IG,small_airport,39.724028,-101.395994,US
00II,heliport,41.644500732421875,-87.122802734375,US
00IL,small_airport,41.97840118408203,-89.5604019165039,US
00IN,heliport,41.51139831542969,-87.2605972290039,US
00IS,small_airport,40.02560043334961,-89.1229019165039,US
00KS,small_airport,38.72779846191406,-94.93049621582031,US
00KY,small_airport,37.409400939941406,-84.61969757080078,US
00LA,heliport,30.191944,-90.980833,US
00LL,heliport,39.66529846191406,-89.70559692382812,US
00LS,small_airport,30.13629913330078,-92.42939758300781,US
00MD,small_airport,38.75709915161133,-75.75379943847656,US
00MI,heliport,43.94940185546875,-86.41670227050781,US
00MN,small_airport,46.29999923706055,-95.70030212402344,US
00MO,small_airport,37.202800750732,-94.412399291992,US
00MT,closed,48.537498,-109.705002,US
00N,small_airport,39.473201751708984,-75.1852035522461,US
00NC,small_airport,36.085201263427734,-78.37139892578125,US
00NJ,heliport,40.52090072631836,-74.47460174560547,US
00NK,seaplane_base,44.8118612,-73.3698057,US
00NY,small_airport,42.90010070800781,-77.49970245361328,US
00OH,small_airport,41.59090042114258,-84.14219665527344,US
00OI,heliport,39.74530029296875,-84.1874008178711,US
00OK,small_airport,36.198598,-96.217693,US
00OR,heliport,44.932899475097656,-123.12999725341797,US
00PA,heliport,39.94889831542969,-75.74690246582031,US
00PN,small_airport,41.2995,-80.211111,US
00PS,closed,40.3778,-77.365303,US
00S,small_airport,44.183200836199994,-122.088996887,US
00SC,small_airport,34.0093994140625,-80.26719665527344,US
00TA,heliport,32.826900482177734,-97.30580139160156,US
00TE,heliport,32.847599029541016,-97.18949890136719,US
00TN,small_airport,35.515899658203125,-85.95359802246094,US
00TS,small_airport,32.607601165771484,-97.24199676513672,US
00TX,closed,29.7377,-94.980201,US
00UT,closed,37.247798919677734,-112.8219985961914,US
00VA,small_airport,36.57600021,-78.9991684,US
00VI,small_airport,36.663299560546875,-80.49949645996094,US
00W,small_airport,46.673500061035,-117.44300079346,US
00WA,small_airport,47.17839813232422,-122.77200317382812,US
00WI,small_airport,44.304298400878906,-89.05010223388672,US
00WN,small_airport,46.25,-117.2490005493164,US
00WV,small_airport,38.82889938354492,-79.86609649658203,US
00WY,heliport,42.840361,-106.224443,US
00XS,small_airport,33.03340148925781,-101.93399810791016,US
01A,small_airport,62.943599700927734,-152.27000427246094,US
01AK,heliport,60.105873975399994,-149.446249008,US
01AL,small_airport,32.94599914550781,-86.51390075683594,US
01AR,heliport,34.047298431396484,-94.35489654541016,US
01AZ,heliport,34.60810089111328,-111.86499786376953,US
01C,closed,43.341701507568,-85.775001525879,US
01CA,heliport,34.368240591699994,-117.370058745,US
01CL,small_airport,38.79990005493164,-120.73400115966797,US
01CN,heliport,34.03779983520508,-118.15399932861328,US
01CO,heliport,39.24530029296875,-106.24600219726562,US
01CT,heliport,41.62730026245117,-72.72750091552734,US
01FA,small_airport,28.589399337768555,-81.14420318603516,US
01FD,heliport,28.666400909423828,-81.37059783935547,US
01FL,small_airport,28.78190040588379,-81.1592025756836,US
01GA,heliport,32.47930145263672,-84.9791030883789,US
01GE,small_airport,32.674400329589844,-82.77110290527344,US
01IA,small_airport,41.66109848022461,-90.74130249023438,US
01ID,small_airport,42.60820007324219,-112.03199768066406,US
01II,small_airport,39.8849983215332,-86.50669860839844,US
01IL,heliport,40.45859909057617,-87.65950012207031,US
01IN,heliport,40.13090133666992,-85.69580078125,US
01IS,small_airport,39.01620101928711,-90.31819915771484,US
01J,small_airport,30.68630027770996,-81.90570068359375,US
01K,small_airport,37.03609848022461,-97.5864028930664,US
01KS,small_airport,38.54059982299805,-97.00330352783203,US
01KY,heliport,37.051700592041016,-88.64689636230469,US
01LA,small_airport,32.638999938964844,-91.77369689941406,US
01LL,small_airport,38.12580108642578,-89.46389770507812,US
01LS,small_airport,30.70599937438965,-91.07740020751953,US
01MA,heliport,42.625099182128906,-71.18009948730469,US
01MD,seaplane_base,38.999199,-76.456001,US
01ME,seaplane_base,46.778900146484375,-68.50029754638672,US
01MI,heliport,43.04949951171875,-83.67970275878906,US
01MN,seaplane_base,47.899600982666016,-92.55740356445312,US
01MO,heliport,38.641700744628906,-90.48429870605469,US
01MT,small_airport,48.789100646972656,-114.87999725341797,US
01NC,small_airport,34.47529983520508,-77.5813980102539,US